"OWC","SCCS.ID","minerva_id","eHRAF.Name","PSF.Cluster","EA.ID","Domain_var","TL1","Domain_name","Domain_num"
"MP17",35,35,"Konso",NA,"Ca01","Gender_TL1_avg_final",NA,"gender",3
"MP17",35,35,"Konso",NA,"Ca01","Mar_TL1_avg_final",NA,"marriage",4
"MP17",35,35,"Konso",NA,"Ca01","Sex_TL1_avg_final",NA,"sex",5
"MP17",35,35,"Konso",NA,"Ca01","FM_TL1_avg_final",NA,"funeral",6
"MP17",35,35,"Konso",NA,"Ca01","Ov_tl_avg",NA,"overall",7
"MP17",35,35,"Konso",NA,"Ca01","General_TL5B_avg_final",NA,"gestalt",8
"MO04",36,36,"Somali","12","Ca02","General_TL1_avg_final",3,"law",1
"MO04",36,36,"Somali","12","Ca02","Soc_TL1_avg_final",3,"social",2
"MO04",36,36,"Somali","12","Ca02","Gender_TL1_avg_final",4,"gender",3
"MO04",36,36,"Somali","12","Ca02","Mar_TL1_avg_final",3,"marriage",4
"MO04",36,36,"Somali","12","Ca02","Sex_TL1_avg_final",NA,"sex",5
"MO04",36,36,"Somali","12","Ca02","FM_TL1_avg_final",3,"funeral",6
"MO04",36,36,"Somali","12","Ca02","Ov_tl_avg",3.2,"overall",7
"MO04",36,36,"Somali","12","Ca02","General_TL5B_avg_final",3.25,"gestalt",8
"MP05",37,37,"Amhara","17","Ca07","General_TL1_avg_final",4,"law",1
"MP05",37,37,"Amhara","17","Ca07","Soc_TL1_avg_final",3,"social",2
"MP05",37,37,"Amhara","17","Ca07","Gender_TL1_avg_final",4,"gender",3
"MP05",37,37,"Amhara","17","Ca07","Mar_TL1_avg_final",2.75,"marriage",4
"MP05",37,37,"Amhara","17","Ca07","Sex_TL1_avg_final",3,"sex",5
"MP05",37,37,"Amhara","17","Ca07","FM_TL1_avg_final",4,"funeral",6
"MP05",37,37,"Amhara","17","Ca07","Ov_tl_avg",3.45833333333333,"overall",7
"MP05",37,37,"Amhara","17","Ca07","General_TL5B_avg_final",3,"gestalt",8
"MS22",40,40,"Teda",NA,"Cc02","General_TL1_avg_final",2.75,"law",1
"MS22",40,40,"Teda",NA,"Cc02","Soc_TL1_avg_final",3,"social",2
"MS22",40,40,"Teda",NA,"Cc02","Gender_TL1_avg_final",2.25,"gender",3
"MS22",40,40,"Teda",NA,"Cc02","Mar_TL1_avg_final",3,"marriage",4
"MS22",40,40,"Teda",NA,"Cc02","Sex_TL1_avg_final",3,"sex",5
"MS22",40,40,"Teda",NA,"Cc02","FM_TL1_avg_final",3.25,"funeral",6
"MS22",40,40,"Teda",NA,"Cc02","Ov_tl_avg",2.875,"overall",7
"MS22",40,40,"Teda",NA,"Cc02","General_TL5B_avg_final",3,"gestalt",8
"MX03",42,42,"Berbers of Morocco",NA,"Cd03","General_TL1_avg_final",4,"law",1
"MX03",42,42,"Berbers of Morocco",NA,"Cd03","Soc_TL1_avg_final",NA,"social",2
"MX03",42,42,"Berbers of Morocco",NA,"Cd03","Gender_TL1_avg_final",3.75,"gender",3
"MX03",42,42,"Berbers of Morocco",NA,"Cd03","Mar_TL1_avg_final",2.875,"marriage",4
"MX03",42,42,"Berbers of Morocco",NA,"Cd03","Sex_TL1_avg_final",3.5,"sex",5
"MX03",42,42,"Berbers of Morocco",NA,"Cd03","FM_TL1_avg_final",4,"funeral",6
"MX03",42,42,"Berbers of Morocco",NA,"Cd03","Ov_tl_avg",3.625,"overall",7
"MX03",42,42,"Berbers of Morocco",NA,"Cd03","General_TL5B_avg_final",3.125,"gestalt",8
"MR13",43,43,"Fellahin",NA,"Cd02","General_TL1_avg_final",4,"law",1
"MR13",43,43,"Fellahin",NA,"Cd02","Soc_TL1_avg_final",4,"social",2
"MR13",43,43,"Fellahin",NA,"Cd02","Gender_TL1_avg_final",4,"gender",3
"MR13",43,43,"Fellahin",NA,"Cd02","Mar_TL1_avg_final",3.75,"marriage",4
"MR13",43,43,"Fellahin",NA,"Cd02","Sex_TL1_avg_final",4,"sex",5
"MR13",43,43,"Fellahin",NA,"Cd02","FM_TL1_avg_final",NA,"funeral",6
"MR13",43,43,"Fellahin",NA,"Cd02","Ov_tl_avg",3.95,"overall",7
"MR13",43,43,"Fellahin",NA,"Cd02","General_TL5B_avg_final",4,"gestalt",8
"MD04",46,46,"Rwala Bedouin",NA,"Cj02","General_TL1_avg_final",3.5,"law",1
"MD04",46,46,"Rwala Bedouin",NA,"Cj02","Soc_TL1_avg_final",NA,"social",2
"MD04",46,46,"Rwala Bedouin",NA,"Cj02","Gender_TL1_avg_final",NA,"gender",3
"MD04",46,46,"Rwala Bedouin",NA,"Cj02","Mar_TL1_avg_final",2.125,"marriage",4
"MD04",46,46,"Rwala Bedouin",NA,"Cj02","Sex_TL1_avg_final",4,"sex",5
"MD04",46,46,"Rwala Bedouin",NA,"Cj02","FM_TL1_avg_final",1.375,"funeral",6
"MD04",46,46,"Rwala Bedouin",NA,"Cj02","Ov_tl_avg",2.75,"overall",7
"MD04",46,46,"Rwala Bedouin",NA,"Cj02","General_TL5B_avg_final",2.875,"gestalt",8
